Molecule List Name	Precursor Name	Precursor Mz	Precursor Charge	Product Mz	Product Charge	Explicit Retention Time	Explicit Retention Time Window	Note	Source_ID	Source	control_chart	original_Precursor_Name	original_Note
CAR	CAR(8:0)	288.217	1	85.028	1	0.69	0.5	SIL_CAR(8:0)-d9	SIL_CAR(8:0)-d9	CarnitineSPLASH	TRUE	CAR(8:0)	SIL_CAR(8:0)-d9
CAR	CAR(8:1)	286.32	1	84.71	1	0.67	0.5	SIL_CAR(8:0)-d9	SIL_CAR(8:0)-d9	CarnitineSPLASH	FALSE	CAR(8:1)	SIL_CAR(8:0)-d9
CAR	CAR(9:0)	302.233	1	85.028	1	0.7	0.5	SIL_CAR(8:0)-d9	SIL_CAR(8:0)-d9	CarnitineSPLASH	FALSE	CAR(9:0)	SIL_CAR(8:0)-d9
CAR	CAR(10:0)	316.248	1	85.028	1	0.8	0.5	SIL_CAR(10:0)-d9	SIL_CAR(10:0)-d9 (HCl)	CarnitineSPLASH	TRUE	CAR(10:0)	SIL_CAR(10:0)-d9
CAR	CAR(10:1)	314.68	1	84.88	1	0.72	0.5	SIL_CAR(10:0)-d9	SIL_CAR(10:0)-d9 (HCl)	CarnitineSPLASH	FALSE	CAR(10:1)	SIL_CAR(10:0)-d9
CAR	CAR(10:1)-DC	346.43	1	85.1	1	0.51	0.5	SIL_CAR(10:0)-d9	SIL_CAR(10:0)-d9 (HCl)	CarnitineSPLASH	FALSE	CAR(10:1)-DC	SIL_CAR(10:0)-d9
CAR	CAR(10:2)	312.217	1	85.028	1	0.68	0.5	SIL_CAR(10:0)-d9	SIL_CAR(10:0)-d9 (HCl)	CarnitineSPLASH	FALSE	CAR(10:2)	SIL_CAR(10:0)-d9
CAR	CAR(11:0)	330.264	1	85.028	1	0.9	0.5	SIL_CAR(10:0)-d9	SIL_CAR(10:0)-d9 (HCl)	CarnitineSPLASH	FALSE	CAR(11:0)	SIL_CAR(10:0)-d9
CAR	CAR(12:0)	344.28	1	85.028	1	1.28	0.5	SIL_CAR(12:0)-d9 	SIL_CAR(12:0)-d9 (HCl)	CarnitineSPLASH	TRUE	CAR(12:0)	SIL_CAR(12:0)-d9 
CAR	CAR(12:0)-OH	360.44	1	84.76	1	0.91	0.5	SIL_CAR(12:0)-d9 	SIL_CAR(12:0)-d9 (HCl)	CarnitineSPLASH	FALSE	CAR(12:0)-OH	SIL_CAR(12:0)-d9 
CAR	CAR(12:1)	342.264	1	85.028	1	1.02	0.5	SIL_CAR(12:0)-d9 	SIL_CAR(12:0)-d9 (HCl)	CarnitineSPLASH	FALSE	CAR(12:1)	SIL_CAR(12:0)-d9 
CAR	CAR(12:2)	340.248	1	85.028	1	0.85	0.5	SIL_CAR(12:0)-d9 	SIL_CAR(12:0)-d9 (HCl)	CarnitineSPLASH	FALSE	CAR(12:2)	SIL_CAR(12:0)-d9 
CAR	CAR(13:0)	358.295	1	85.028	1	1.45	0.5	SIL_CAR(12:0)-d9 	SIL_CAR(12:0)-d9 (HCl)	CarnitineSPLASH	FALSE	CAR(13:0)	SIL_CAR(12:0)-d9 
CAR	CAR(14:0)	372.311	1	85.028	1	1.95	0.5	SIL_CAR(14:0)-d9	SIL_CAR(14:0)-d9	CarnitineSPLASH	TRUE	CAR(14:0)	SIL_CAR(14:0)-d9
CAR	CAR(14:1)	370.295	1	85.028	1	1.55	0.5	SIL_CAR(14:0)-d9	SIL_CAR(14:0)-d9	CarnitineSPLASH	FALSE	CAR(14:1)	SIL_CAR(14:0)-d9
CAR	CAR(14:2)	368.28	1	85.028	1	1.25	0.5	SIL_CAR(14:0)-d9	SIL_CAR(14:0)-d9	CarnitineSPLASH	FALSE	CAR(14:2)	SIL_CAR(14:0)-d9
